Datetime,Water Level (m)
2023-06-19 12:00:00,-0.25794098
2023-06-19 13:00:00,-0.29330334
2023-06-19 14:00:00,-0.05839558
2023-06-19 15:00:00,0.3516086
2023-06-19 16:00:00,0.6256426
2023-06-19 17:00:00,0.7823303
2023-06-19 18:00:00,0.8062334
2023-06-19 19:00:00,0.702068
2023-06-19 20:00:00,0.43461815
2023-06-19 21:00:00,0.14166367
2023-06-19 22:00:00,-0.084586866
2023-06-19 23:00:00,-0.26789948
2023-06-20 00:00:00,-0.39326325
2023-06-20 01:00:00,-0.3734556
2023-06-20 02:00:00,0.03557146
2023-06-20 03:00:00,0.466343
2023-06-20 04:00:00,0.80533606
2023-06-20 05:00:00,1.0561252
2023-06-20 06:00:00,1.193849
2023-06-20 07:00:00,1.1761216
2023-06-20 08:00:00,0.97039324
2023-06-20 09:00:00,0.63870573
2023-06-20 10:00:00,0.34678832
2023-06-20 11:00:00,0.11136259
2023-06-20 12:00:00,-0.08763138
2023-06-20 13:00:00,-0.21665241
2023-06-20 14:00:00,-0.1912853
2023-06-20 15:00:00,0.15381426
2023-06-20 16:00:00,0.4990097
2023-06-20 17:00:00,0.71428347
2023-06-20 18:00:00,0.8303074
2023-06-20 19:00:00,0.8265267
2023-06-20 20:00:00,0.6479276
2023-06-20 21:00:00,0.33899796
2023-06-20 22:00:00,0.07824433
2023-06-20 23:00:00,-0.11942447
2023-06-21 00:00:00,-0.2652611
2023-06-21 01:00:00,-0.34786135
2023-06-21 02:00:00,-0.23619209
2023-06-21 03:00:00,0.22030982
2023-06-21 04:00:00,0.59836286
2023-06-21 05:00:00,0.8947591
2023-06-21 06:00:00,1.1129521
2023-06-21 07:00:00,1.198463
2023-06-21 08:00:00,1.1117228
2023-06-21 09:00:00,0.8408005
2023-06-21 10:00:00,0.5230506
2023-06-21 11:00:00,0.27290612
2023-06-21 12:00:00,0.07246359
2023-06-21 13:00:00,-0.08251552
2023-06-21 14:00:00,-0.14571229
2023-06-21 15:00:00,0.004770991
2023-06-21 16:00:00,0.3640273
2023-06-21 17:00:00,0.6124835
2023-06-21 18:00:00,0.76547456
2023-06-21 19:00:00,0.81569314
2023-06-21 20:00:00,0.7502217
2023-06-21 21:00:00,0.5231497
2023-06-21 22:00:00,0.23553395
2023-06-21 23:00:00,0.017249411
2023-06-22 00:00:00,-0.15123093
2023-06-22 01:00:00,-0.27275372
2023-06-22 02:00:00,-0.30024058
2023-06-22 03:00:00,-0.049822506
2023-06-22 04:00:00,0.41779894
2023-06-22 05:00:00,0.76695853
2023-06-22 06:00:00,1.0226617
2023-06-22 07:00:00,1.1620327
2023-06-22 08:00:00,1.151881
2023-06-22 09:00:00,0.9649617
2023-06-22 10:00:00,0.6589132
2023-06-22 11:00:00,0.38921347
2023-06-22 12:00:00,0.17958689
2023-06-22 13:00:00,0.0061875214
2023-06-22 14:00:00,-0.12064719
2023-06-22 15:00:00,-0.13858488
2023-06-22 16:00:00,0.07816804
2023-06-22 17:00:00,0.3969291
2023-06-22 18:00:00,0.61285573
2023-06-22 19:00:00,0.7507841
2023-06-22 20:00:00,0.76641685
2023-06-22 21:00:00,0.6445019
2023-06-22 22:00:00,0.38951454
2023-06-22 23:00:00,0.12878667
2023-06-23 00:00:00,-0.05692618
2023-06-23 01:00:00,-0.19592135
2023-06-23 02:00:00,-0.2757866
2023-06-23 03:00:00,-0.20345362
2023-06-23 04:00:00,0.16458386
2023-06-23 05:00:00,0.53092283
2023-06-23 06:00:00,0.8111274
2023-06-23 07:00:00,1.0238395
2023-06-23 08:00:00,1.1174082
2023-06-23 09:00:00,1.0617306
2023-06-23 10:00:00,0.8381392
2023-06-23 11:00:00,0.5381879
2023-06-23 12:00:00,0.29783252
2023-06-23 13:00:00,0.10932139
2023-06-23 14:00:00,-0.038021877
2023-06-23 15:00:00,-0.11193336
2023-06-23 16:00:00,-0.040952723
2023-06-23 17:00:00,0.23631798
2023-06-23 18:00:00,0.49414095
2023-06-23 19:00:00,0.67148083
2023-06-23 20:00:00,0.7579294
2023-06-23 21:00:00,0.7475266
2023-06-23 22:00:00,0.6063146
2023-06-23 23:00:00,0.3654038
2023-06-24 00:00:00,0.15913206
2023-06-24 01:00:00,0.008534486
2023-06-24 02:00:00,-0.10537432
2023-06-24 03:00:00,-0.14137983
2023-06-24 04:00:00,0.021634072
2023-06-24 05:00:00,0.40436068
2023-06-24 06:00:00,0.71260333
2023-06-24 07:00:00,0.93469745
2023-06-24 08:00:00,1.0742376
2023-06-24 09:00:00,1.0984696
2023-06-24 10:00:00,0.97326916
2023-06-24 11:00:00,0.7275016
2023-06-24 12:00:00,0.48527607
2023-06-24 13:00:00,0.29068208
2023-06-24 14:00:00,0.12859546
2023-06-24 15:00:00,0.011038803
2023-06-24 16:00:00,-0.0164322
2023-06-24 17:00:00,0.09625256
2023-06-24 18:00:00,0.3831233
2023-06-24 19:00:00,0.6243099
2023-06-24 20:00:00,0.77831244
2023-06-24 21:00:00,0.85574996
2023-06-24 22:00:00,0.82637507
2023-06-24 23:00:00,0.6656885
2023-06-25 00:00:00,0.46756712
2023-06-25 01:00:00,0.3270669
2023-06-25 02:00:00,0.23392652
2023-06-25 03:00:00,0.19776638
2023-06-25 04:00:00,0.2359623
2023-06-25 05:00:00,0.4495275
2023-06-25 06:00:00,0.7876716
2023-06-25 07:00:00,1.0667195
2023-06-25 08:00:00,1.1958337
2023-06-25 09:00:00,1.3001614
2023-06-25 10:00:00,1.3490951
2023-06-25 11:00:00,1.1614287
2023-06-25 12:00:00,0.95252836
